f_frame_counter_left_camera,CAN_S_Gaze_ROI,MS_S_Gaze_ROI_X_Raw,MS_S_Gaze_ROI_Y_Raw,MS_S_Head_rot_X,MS_S_Head_rot_Y,MS_S_Head_rot_Z,HSVL_MS_S_Head_Pos_Veh_X,HSVL_MS_S_Head_Pos_Veh_Y,HSVL_MS_S_Head_Pos_Veh_Z,MS_S_Gaze_LE_Center_X,MS_S_Gaze_LE_Center_Y,MS_S_Gaze_LE_Center_Z,MS_S_Gaze_LE_VA_rot_X,MS_S_Gaze_LE_VA_rot_Y,MS_S_Gaze_LE_VA_rot_Z,MS_S_Gaze_RE_Center_X,MS_S_Gaze_RE_Center_Y,MS_S_Gaze_RE_Center_Z,MS_S_Gaze_RE_VA_rot_X,MS_S_Gaze_RE_VA_rot_Y,MS_S_Gaze_RE_VA_rot_Z,MS_S_Gaze_rot_X,MS_S_Gaze_rot_Y,MS_S_Gaze_rot_Z,headDir_X_L,headDir_Y_L,headDir_Z_L,headDir_X_R,headDir_Y_R,headDir_Z_R,headDir_X_mid,headDir_Y_mid,headDir_Z_mid,Rot_headDir_X_mid,Rot_headDir_Y_mid,Rot_headDir_Z_mid,roi_idx_h,roi_name_h,roi_X,roi_Y,intersect_x_h,intersect_y_h,intersect_z_h
45293.0000,3.0000,43.0000,52.0000,0.7000,-10.5000,0.6000,1501.0000,-418.0000,858.0000,1498.0000,-449.0000,859.0000,0.0000,-9.8000,1.8000,1497.0000,-387.0000,861.0000,0.0000,-9.8000,1.8000,0.0000,-9.8302,1.8407,0.9991,0.0417,-0.0122,0.9991,0.0417,-0.0122,0.9990,0.0424,-0.0117,0.0000,0.6704,2.4306,3, /Windshield  Driver ,40,32,1038.4688,-437.6336,863.4168
45294.0000,3.0000,43.0000,52.0000,0.7000,-10.6000,0.0000,1500.0000,-417.0000,858.0000,1498.0000,-448.0000,859.0000,0.0000,-9.8000,1.8000,1497.0000,-387.0000,861.0000,0.0000,-9.8000,1.8000,0.0000,-9.8098,1.7871,0.9994,0.0314,-0.0140,0.9994,0.0314,-0.0140,0.9994,0.0312,-0.0138,0.0000,0.7902,1.7871,3, /Windshield  Driver ,40,32,1040.0177,-431.3516,864.3475
45295.0000,3.0000,43.0000,51.0000,0.7000,-10.6000,-0.6000,1500.0000,-417.0000,857.0000,1497.0000,-447.0000,859.0000,0.0000,-9.9000,1.7000,1496.0000,-386.0000,861.0000,0.0000,-9.9000,1.7000,0.0000,-9.8686,1.7156,0.9997,0.0194,-0.0122,0.9997,0.0194,-0.0122,0.9997,0.0196,-0.0128,0.0000,0.7320,1.1258,3, /Windshield  Driver ,41,32,1037.6229,-426.0865,862.9085
45296.0000,3.0000,43.0000,51.0000,0.8000,-10.7000,-1.3000,1499.0000,-416.0000,857.0000,1495.0000,-446.0000,859.0000,0.0000,-9.9000,1.6000,1496.0000,-385.0000,861.0000,0.0000,-9.9000,1.6000,0.0000,-9.9318,1.6442,0.9999,0.0056,-0.0140,0.9999,0.0056,-0.0140,0.9999,0.0064,-0.0135,0.0000,0.7707,0.3667,3, /Windshield  Driver ,42,32,1038.1083,-418.9500,863.2002
45297.0000,3.0000,44.0000,51.0000,1.0000,-10.7000,-2.1000,1499.0000,-414.0000,857.0000,1494.0000,-445.0000,859.0000,0.0000,-10.0000,1.3000,1496.0000,-383.0000,860.0000,0.0000,-10.0000,1.3000,0.0000,-10.0053,1.3101,0.9998,-0.0133,-0.0123,0.9998,-0.0133,-0.0123,0.9998,-0.0132,-0.0122,-0.0000,0.7013,-0.7535,3, /Windshield  Driver ,43,32,1037.1974,-407.9262,862.6528
45298.0000,3.0000,44.0000,52.0000,1.1000,-10.7000,-2.9000,1499.0000,-413.0000,857.0000,1493.0000,-442.0000,858.0000,0.0000,-10.2000,0.3000,1496.0000,-383.0000,860.0000,0.0000,-10.2000,0.3000,0.0000,-10.2157,0.3492,0.9990,-0.0445,-0.0089,0.9990,-0.0445,-0.0089,0.9990,-0.0436,-0.0087,-0.0000,0.4971,-2.5005,3, /Windshield  Driver ,45,33,1034.5035,-392.7158,861.0342
45299.0000,3.0000,44.0000,52.0000,1.3000,-10.7000,-3.8000,1499.0000,-411.0000,857.0000,1493.0000,-442.0000,858.0000,0.0000,-10.2000,0.3000,1496.0000,-383.0000,860.0000,0.0000,-10.2000,0.3000,0.0000,-10.2157,0.3492,0.9982,-0.0599,-0.0091,0.9982,-0.0599,-0.0091,0.9982,-0.0590,-0.0088,-0.0000,0.5063,-3.3848,3, /Windshield  Driver ,46,33,1034.6308,-383.5349,861.1107
45301.0000,3.0000,50.0000,50.0000,1.4000,-10.8000,-5.9000,1498.0000,-405.0000,856.0000,1490.0000,-432.0000,857.0000,0.0000,-13.4000,-11.6000,1501.0000,-369.0000,860.0000,0.0000,-13.4000,-11.6000,0.0000,-13.4254,-11.5897,0.9533,-0.2988,0.0442,0.9533,-0.2988,0.0442,0.9533,-0.2986,0.0446,-0.0000,-2.5561,-17.3906,3, /Windshield  Driver ,61,41,986.2852,-244.7307,832.0616
45302.0000,3.0000,44.0000,53.0000,1.5000,-10.9000,-7.7000,1497.0000,-402.0000,855.0000,1489.0000,-426.0000,858.0000,0.0000,-13.1000,-17.1000,1500.0000,-366.0000,860.0000,0.0000,-13.1000,-17.1000,0.0000,-13.0804,-17.1141,0.9082,-0.4170,0.0364,0.9082,-0.4170,0.0364,0.9081,-0.4173,0.0360,-0.0000,-2.0655,-24.6793,3, /Windshield  Driver ,70,40,991.0396,-169.5054,834.9183
45303.0000,3.0000,44.0000,54.0000,1.7000,-11.1000,-9.4000,1496.0000,-399.0000,855.0000,1488.0000,-423.0000,857.0000,0.0000,-12.2000,-24.5000,1501.0000,-363.0000,860.0000,0.0000,-12.2000,-24.5000,0.0000,-12.1762,-24.5140,0.8316,-0.5551,0.0164,0.8316,-0.5551,0.0164,0.8315,-0.5553,0.0160,-0.0000,-0.9169,-33.7378,3, /Windshield  Driver ,80,37,1008.8581,-73.6518,845.6248
