f_frame_counter_left_camera,MRA2_ORG_CAN_S_Gaze_ROI,MRA2_ORG_MS_S_Gaze_ROI_X_Raw,MRA2_ORG_MS_S_Gaze_ROI_Y_Raw,MRA2_TARGET_NAME,MRA2_CALC_roi_idx_h,MRA2_CALC_roi_name_h,MRA2_CALC_roi_X,MRA2_CALC_roi_Y,CVT_CALC_roi_idx_h,CVT_CALC_roi_name_h,CVT_CALC_roi_X,CVT_CALC_roi_Y
45353.0000,3.0000,84.0000,58.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,48.0000,30.0000,3.0000,   /Windshield    Driver   ,38,76
45354.0000,3.0000,84.0000,58.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,48.0000,30.0000,3.0000,   /Windshield    Driver   ,38,77
45355.0000,3.0000,84.0000,58.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,47.0000,30.0000,3.0000,   /Windshield    Driver   ,37,76
45356.0000,3.0000,84.0000,58.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,47.0000,30.0000,3.0000,   /Windshield    Driver   ,38,78
45357.0000,3.0000,84.0000,58.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,47.0000,30.0000,3.0000,   /Windshield    Driver   ,37,77
45358.0000,3.0000,84.0000,58.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,47.0000,31.0000,3.0000,   /Windshield    Driver   ,37,79
45359.0000,3.0000,84.0000,58.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,47.0000,31.0000,3.0000,   /Windshield    Driver   ,35,82
45360.0000,3.0000,84.0000,58.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,46.0000,30.0000,3.0000,   /Windshield    Driver   ,33,86
45361.0000,3.0000,84.0000,58.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,45.0000,30.0000,3.0000,   /Windshield    Driver   ,31,88
45362.0000,3.0000,84.0000,58.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,45.0000,29.0000,3.0000,   /Windshield    Driver   ,31,89
45363.0000,3.0000,84.0000,58.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,44.0000,28.0000,3.0000,   /Windshield    Driver   ,30,91
45364.0000,3.0000,80.0000,64.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,44.0000,28.0000,3.0000,   /Windshield    Driver   ,30,90
45365.0000,3.0000,66.0000,56.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,44.0000,28.0000,3.0000,   /Windshield    Driver   ,29,91
45366.0000,3.0000,57.0000,52.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,44.0000,28.0000,3.0000,   /Windshield    Driver   ,29,90
45367.0000,3.0000,53.0000,50.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,44.0000,28.0000,3.0000,   /Windshield    Driver   ,28,90
45368.0000,3.0000,50.0000,50.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,43.0000,28.0000,3.0000,   /Windshield    Driver   ,28,90
